"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","2","","TestRegistration","","TestRegistration","TestValidRegistration","RI-06",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","6","","TestSignIn","","TestSignIn","TestSignInEmptyNameInputField","BE-01",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","12","","TestRegistration","","TestRegistration","TestRegistrationNotValidPassword","RI-04",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","7","","TestRegistration","","TestRegistration","TestRegistrationNoName","RI-02",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","9","","TestRegistration","","TestRegistration","TestRegistrationNoEmailAddress","RI-01",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","2","","TestRegistration","","TestRegistration","TestRegistrationNoMatchPassword","RI-05",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","2","","TestSignIn","","TestSignIn","TestSignInWrongPassword","BE-03",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","8","","TestRegistration","","TestRegistration","TestRegistrationNoPassword","RI-03",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","1","","TestSignIn","","TestSignIn","TestSignInEmptyPasswordField","BE-02",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","2","","TestSignIn","","TestSignIn","TestSignIn","BE-04",""
"broken","Sat Jul 31 13:05:46 GMT 2021","Sat Jul 31 13:05:46 GMT 2021","59","","TestSignOut","","TestSignOut","TestCompleteSignOut","LO-01",""
