"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","3","","TestRegistration","","TestRegistration","TestRegistrationNoEmailAddress","RI-01",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","2","","TestSignIn","","TestSignIn","TestSignInWrongPassword","BE-03",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","2","","TestSignIn","","TestSignIn","TestSignInEmptyNameInputField","BE-01",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","3","","TestRegistration","","TestRegistration","TestRegistrationNotValidPassword","RI-04",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","87","","TestSignOut","","TestSignOut","TestCompleteSignOut","LO-01",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","4","","TestRegistration","","TestRegistration","TestRegistrationNoPassword","RI-03",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","21","","TestRegistration","","TestRegistration","TestRegistrationNoMatchPassword","RI-05",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","20","","TestSignIn","","TestSignIn","TestSignInEmptyPasswordField","BE-02",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","3","","TestRegistration","","TestRegistration","TestValidRegistration","RI-06",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","3","","TestRegistration","","TestRegistration","TestRegistrationNoName","RI-02",""
"broken","Sat Jul 31 12:57:15 GMT 2021","Sat Jul 31 12:57:15 GMT 2021","2","","TestSignIn","","TestSignIn","TestSignIn","BE-04",""
