"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 31 13:40:50 GMT 2021","Sat Jul 31 13:40:50 GMT 2021","253","","TestSignIn","","TestSignIn","TestSignIn","BE-04",""
"broken","Sat Jul 31 13:40:49 GMT 2021","Sat Jul 31 13:40:49 GMT 2021","171","","TestRegistration","","TestRegistration","TestValidRegistration","RI-06",""
"broken","Sat Jul 31 13:40:50 GMT 2021","Sat Jul 31 13:40:50 GMT 2021","152","","TestRegistration","","TestRegistration","TestRegistrationNoMatchPassword","RI-05",""
"broken","Sat Jul 31 13:40:51 GMT 2021","Sat Jul 31 13:40:51 GMT 2021","149","","TestSignIn","","TestSignIn","TestSignInEmptyNameInputField","BE-01",""
"broken","Sat Jul 31 13:40:50 GMT 2021","Sat Jul 31 13:40:51 GMT 2021","211","","TestSignIn","","TestSignIn","TestSignInEmptyPasswordField","BE-02",""
"broken","Sat Jul 31 13:40:51 GMT 2021","Sat Jul 31 13:40:51 GMT 2021","172","","TestSignIn","","TestSignIn","TestSignInWrongPassword","BE-03",""
"broken","Sat Jul 31 13:40:50 GMT 2021","Sat Jul 31 13:40:50 GMT 2021","222","","TestRegistration","","TestRegistration","TestRegistrationNoEmailAddress","RI-01",""
"broken","Sat Jul 31 13:40:48 GMT 2021","Sat Jul 31 13:40:49 GMT 2021","1016","","TestSignOut","","TestSignOut","TestCompleteSignOut","LO-01",""
"broken","Sat Jul 31 13:40:49 GMT 2021","Sat Jul 31 13:40:49 GMT 2021","210","","TestRegistration","","TestRegistration","TestRegistrationNotValidPassword","RI-04",""
"broken","Sat Jul 31 13:40:49 GMT 2021","Sat Jul 31 13:40:49 GMT 2021","221","","TestRegistration","","TestRegistration","TestRegistrationNoName","RI-02",""
"broken","Sat Jul 31 13:40:49 GMT 2021","Sat Jul 31 13:40:50 GMT 2021","372","","TestRegistration","","TestRegistration","TestRegistrationNoPassword","RI-03",""
