"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 31 13:35:34 GMT 2021","Sat Jul 31 13:35:34 GMT 2021","161","","TestSignIn","","TestSignIn","TestSignIn","BE-04",""
"broken","Sat Jul 31 13:35:34 GMT 2021","Sat Jul 31 13:35:34 GMT 2021","147","","TestRegistration","","TestRegistration","TestValidRegistration","RI-06",""
"broken","Sat Jul 31 13:35:34 GMT 2021","Sat Jul 31 13:35:35 GMT 2021","155","","TestSignIn","","TestSignIn","TestSignInEmptyPasswordField","BE-02",""
"broken","Sat Jul 31 13:35:33 GMT 2021","Sat Jul 31 13:35:33 GMT 2021","161","","TestRegistration","","TestRegistration","TestRegistrationNotValidPassword","RI-04",""
"broken","Sat Jul 31 13:35:35 GMT 2021","Sat Jul 31 13:35:35 GMT 2021","139","","TestSignIn","","TestSignIn","TestSignInWrongPassword","BE-03",""
"broken","Sat Jul 31 13:35:34 GMT 2021","Sat Jul 31 13:35:34 GMT 2021","143","","TestRegistration","","TestRegistration","TestRegistrationNoPassword","RI-03",""
"broken","Sat Jul 31 13:35:35 GMT 2021","Sat Jul 31 13:35:35 GMT 2021","139","","TestSignIn","","TestSignIn","TestSignInEmptyNameInputField","BE-01",""
"broken","Sat Jul 31 13:35:34 GMT 2021","Sat Jul 31 13:35:34 GMT 2021","162","","TestRegistration","","TestRegistration","TestRegistrationNoMatchPassword","RI-05",""
"broken","Sat Jul 31 13:35:33 GMT 2021","Sat Jul 31 13:35:34 GMT 2021","151","","TestRegistration","","TestRegistration","TestRegistrationNoName","RI-02",""
"broken","Sat Jul 31 13:35:34 GMT 2021","Sat Jul 31 13:35:34 GMT 2021","144","","TestRegistration","","TestRegistration","TestRegistrationNoEmailAddress","RI-01",""
"broken","Sat Jul 31 13:35:32 GMT 2021","Sat Jul 31 13:35:33 GMT 2021","732","","TestSignOut","","TestSignOut","TestCompleteSignOut","LO-01",""
